PathwayID,PathwayName,Layer
R-HSA-71291,Metabolism of amino acids and derivatives,1
R-HSA-71387,Metabolism of carbohydrates,1
R-HSA-71737,Pyrophosphate hydrolysis,1
R-HSA-72086,mRNA Capping,1
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,1
R-HSA-72306,tRNA processing,1
R-HSA-72312,rRNA processing,1
R-HSA-72766,Translation,1
R-HSA-73857,RNA Polymerase II Transcription,1
R-HSA-73864,RNA Polymerase I Transcription,1
R-HSA-73884,Base Excision Repair,1
R-HSA-73886,Chromosome Maintenance,1
R-HSA-73887,Death Receptor Signaling,1
R-HSA-73893,DNA Damage Bypass,1
R-HSA-73942,DNA Damage Reversal,1
R-HSA-74158,RNA Polymerase III Transcription,1
R-HSA-75067,Processing of Capped Intronless Pre-mRNA,1
R-HSA-75072,mRNA Editing,1
R-HSA-75205,Dissolution of Fibrin Clot,1
R-HSA-75892,Platelet Adhesion to exposed collagen,1
R-HSA-75944,Transcription from mitochondrial promoters,1
R-HSA-76002,"Platelet activation, signaling and aggregation",1
R-HSA-8935690,Digestion,1
R-HSA-8941237,Invadopodia formation,1
R-HSA-8949215,Mitochondrial calcium ion transport,1
R-HSA-8963676,Intestinal absorption,1
R-HSA-8981607,Intracellular oxygen transport,1
R-HSA-9006335,Signaling by Erythropoietin,1
R-HSA-9006925,Intracellular signaling by second messengers,1
R-HSA-9006927,Signaling by Non-Receptor Tyrosine Kinases,1
R-HSA-9006931,Signaling by Nuclear Receptors,1
R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,1
R-HSA-9006936,Signaling by TGFB family members,1
R-HSA-9033241,Peroxisomal protein import,1
R-HSA-917937,Iron uptake and transport,1
R-HSA-927802,Nonsense-Mediated Decay (NMD),1
R-HSA-9603798,Class I peroxisomal membrane protein import,1
R-HSA-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,1
R-HSA-9613829,Chaperone Mediated Autophagy,1
R-HSA-9615710,Late endosomal microautophagy,1
R-HSA-9616222,Transcriptional regulation of granulopoiesis,1
R-HSA-9645723,Diseases of programmed cell death,1
R-HSA-9659379,Sensory processing of sound,1
R-HSA-9671793,Diseases of hemostasis,1
R-HSA-9675108,Nervous system development,1
R-HSA-9675126,Diseases of mitotic cell cycle,1
R-HSA-9675132,Diseases of cellular response to stress,1
R-HSA-9675135,Diseases of DNA repair,1
R-HSA-9675143,Diseases of the neuronal system,1
R-HSA-9675151,Disorders of Developmental Biology,1
R-HSA-9690406,Transcriptional regulation of testis differentiation,1
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",1
R-HSA-9717189,Sensory perception of taste,1
R-HSA-9733709,Cardiogenesis,1
R-HSA-9748787,Azathioprine ADME,1
R-HSA-9749641,Aspirin ADME,1
R-HSA-9753281,Paracetamol ADME,1
R-HSA-9754706,Atorvastatin ADME,1
R-HSA-9755088,Ribavirin ADME,1
R-HSA-9757110,Prednisone ADME,1
R-HSA-9758941,Gastrulation,1
R-HSA-977225,Amyloid fiber formation,1
R-HSA-9793528,Ciprofloxacin ADME,1
R-HSA-9816359,Maternal to zygotic transition (MZT),1
R-HSA-9827857,Specification of primordial germ cells,1
R-HSA-983231,Factors involved in megakaryocyte development and platelet production,1
R-HSA-9836573,Mitochondrial RNA degradation,1
R-HSA-983712,Ion channel transport,1
R-HSA-109606,Intrinsic Pathway for Apoptosis,2
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,2
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,2
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,2
R-HSA-112303,Electric Transmission Across Gap Junctions,2
R-HSA-112308,Presynaptic depolarization and calcium channel opening,2
R-HSA-112310,Neurotransmitter release cycle,2
R-HSA-112311,Neurotransmitter clearance,2
R-HSA-112313,Neurotransmitter uptake and metabolism In glial cells,2
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,2
R-HSA-114508,Effects of PIP2 hydrolysis,2
R-HSA-114604,GPVI-mediated activation cascade,2
R-HSA-1170546,Prolactin receptor signaling,2
R-HSA-1221632,Meiotic synapsis,2
