PathwayID,PathwayName,GeneSymbol
R-HSA-109606,Intrinsic Pathway for Apoptosis,P73L
R-HSA-109606,Intrinsic Pathway for Apoptosis,PKB
R-HSA-109606,Intrinsic Pathway for Apoptosis,PKBG
R-HSA-109606,Intrinsic Pathway for Apoptosis,PMAIP1
R-HSA-109606,Intrinsic Pathway for Apoptosis,PNUTL2
R-HSA-109606,Intrinsic Pathway for Apoptosis,PPP1R13B
R-HSA-109606,Intrinsic Pathway for Apoptosis,PPP3CC
R-HSA-109606,Intrinsic Pathway for Apoptosis,PPP3R1
R-HSA-109606,Intrinsic Pathway for Apoptosis,PRKM1
R-HSA-109606,Intrinsic Pathway for Apoptosis,PRKM2
R-HSA-109606,Intrinsic Pathway for Apoptosis,PRKM3
R-HSA-109606,Intrinsic Pathway for Apoptosis,PRKM8
R-HSA-109606,Intrinsic Pathway for Apoptosis,PUMA
R-HSA-109606,Intrinsic Pathway for Apoptosis,RAC
R-HSA-109606,Intrinsic Pathway for Apoptosis,RBBP3
R-HSA-109606,Intrinsic Pathway for Apoptosis,SAPK1
R-HSA-109606,Intrinsic Pathway for Apoptosis,SAPK1C
R-HSA-109606,Intrinsic Pathway for Apoptosis,SEP4
R-HSA-109606,Intrinsic Pathway for Apoptosis,SEPT4
R-HSA-109606,Intrinsic Pathway for Apoptosis,SEPTIN4
R-HSA-109606,Intrinsic Pathway for Apoptosis,SF2P32
R-HSA-109606,Intrinsic Pathway for Apoptosis,SFN
R-HSA-109606,Intrinsic Pathway for Apoptosis,SMAC
R-HSA-109606,Intrinsic Pathway for Apoptosis,STAT3
R-HSA-109606,Intrinsic Pathway for Apoptosis,TFDP1
R-HSA-109606,Intrinsic Pathway for Apoptosis,TFDP2
R-HSA-109606,Intrinsic Pathway for Apoptosis,TP53
R-HSA-109606,Intrinsic Pathway for Apoptosis,TP53BP2
R-HSA-109606,Intrinsic Pathway for Apoptosis,TP63
R-HSA-109606,Intrinsic Pathway for Apoptosis,TP73
R-HSA-109606,Intrinsic Pathway for Apoptosis,TP73L
R-HSA-109606,Intrinsic Pathway for Apoptosis,UACA
R-HSA-109606,Intrinsic Pathway for Apoptosis,XIAP
R-HSA-109606,Intrinsic Pathway for Apoptosis,YWHA1
R-HSA-109606,Intrinsic Pathway for Apoptosis,YWHAB
R-HSA-109606,Intrinsic Pathway for Apoptosis,YWHAE
R-HSA-109606,Intrinsic Pathway for Apoptosis,YWHAG
R-HSA-109606,Intrinsic Pathway for Apoptosis,YWHAH
R-HSA-109606,Intrinsic Pathway for Apoptosis,YWHAQ
R-HSA-109606,Intrinsic Pathway for Apoptosis,YWHAZ
R-HSA-109606,Intrinsic Pathway for Apoptosis,hucep-7
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,ARNIP
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,C1orf124
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,CHIMP
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,CHRAC17
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,DINB1
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,DPE2
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,DVC1
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,EFP
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,G1P2
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,HEL-220
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,HEL-S-70
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,ISG15
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,KIAA0039
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,KIAA0101
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,KIAA0190
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,KIAA1499
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,L5
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,MAD2B
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,MAD2L2
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,NPL4
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,NPLOC4
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,NS5ATP9
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,PAF
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,PCLAF
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,PCNA
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,PIRH2
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLD
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLD1
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLD2
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLD3
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLD4
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLDS
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLE
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLE1
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLE2
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLE3
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLE4
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLH
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLI
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLK
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,POLZ
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RAD30
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RAD30A
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RAD30B
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RCHY1
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,REPA1
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,REPA2
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,REPA3
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,REV1
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,REV1L
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,REV3
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,REV3L
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,REV7
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RFC1
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RFC140
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RFC2
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RFC3
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RFC4
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RFC5
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RNF147
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RNF199
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RPA1
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RPA14
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RPA2
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RPA3
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RPA32
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RPA34
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RPA70
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,RPS27A
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,SPRTN
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,TRIM25
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UBA52
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UBA7
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UBA80
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UBB
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,UBC
