PathwayID,PathwayName,Layer
R-HSA-109704,PI3K Cascade,5
R-HSA-111458,Formation of apoptosome,5
R-HSA-111459,Activation of caspases through apoptosome-mediated cleavage,5
R-HSA-111463,SMAC (DIABLO) binds to IAPs ,5
R-HSA-111464,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,5
R-HSA-111931,PKA-mediated phosphorylation of CREB,5
R-HSA-111932,CaMK IV-mediated phosphorylation of CREB,5
R-HSA-111957,Cam-PDE 1 activation,5
R-HSA-112040,G-protein mediated events,5
R-HSA-112412,SOS-mediated signalling,5
R-HSA-113501,Inhibition of replication initiation of damaged DNA by RB1/E2F1,5
R-HSA-113507,E2F-enabled inhibition of pre-replication complex formation,5
R-HSA-1222387,Tolerance of reactive oxygen produced by macrophages,5
R-HSA-1222449,Mtb iron assimilation by chelation,5
R-HSA-1222538,Tolerance by Mtb to nitric oxide produced by macrophages,5
R-HSA-1222541,Cell redox homeostasis,5
R-HSA-1295596,Spry regulation of FGF signaling,5
R-HSA-1307965,betaKlotho-mediated ligand binding,5
R-HSA-162594,Early Phase of HIV Life Cycle,5
R-HSA-162599,Late Phase of HIV Life Cycle,5
R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,5
R-HSA-166662,Lectin pathway of complement activation,5
R-HSA-167044,Signalling to RAS,5
R-HSA-168288,Fusion of the Influenza Virion to the Host Cell Endosome,5
R-HSA-168298,Release,5
R-HSA-168302,Budding,5
R-HSA-168303,Packaging of Eight RNA Segments,5
R-HSA-168305,Inhibition of Interferon Synthesis,5
R-HSA-168315,Inhibition of Host mRNA Processing and RNA Silencing,5
R-HSA-168316,Assembly of Viral Components at the Budding Site,5
R-HSA-168325,Viral Messenger RNA Synthesis,5
R-HSA-168330,Viral RNP Complexes in the Host Cell Nucleus,5
R-HSA-168333,NEP/NS2 Interacts with the Cellular Export Machinery,5
R-HSA-168336,Uncoating of the Influenza Virion,5
R-HSA-169131,Inhibition of PKR,5
R-HSA-169893,Prolonged ERK activation events,5
R-HSA-170145,Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes,5
R-HSA-173623,Classical antibody-mediated complement activation,5
R-HSA-174113,SCF-beta-TrCP mediated degradation of Emi1,5
R-HSA-174411,Polymerase switching on the C-strand of the telomere,5
R-HSA-174414,Processive synthesis on the C-strand of the telomere,5
R-HSA-174430,Telomere C-strand synthesis initiation,5
R-HSA-176033,Interactions of Vpr with host cellular proteins,5
R-HSA-176034,Interactions of Tat with host cellular proteins,5
R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,5
R-HSA-176412,Phosphorylation of the APC/C,5
R-HSA-176417,Phosphorylation of Emi1,5
R-HSA-177128,Conjugation of salicylate with glycine,5
R-HSA-177135,Conjugation of benzoate with glycine,5
R-HSA-177162,Conjugation of phenylacetate with glutamine,5
R-HSA-177243,Interactions of Rev with host cellular proteins,5
R-HSA-180024,DARPP-32 events,5
R-HSA-180534,Vpu mediated degradation of CD4,5
R-HSA-180585,Vif-mediated degradation of APOBEC3G,5
R-HSA-180689,APOBEC3G mediated resistance to HIV-1 infection,5
R-HSA-1839117,Signaling by cytosolic FGFR1 fusion mutants,5
R-HSA-1839120,Signaling by FGFR1 amplification mutants,5
R-HSA-1839122,Signaling by activated point mutants of FGFR1,5
R-HSA-1839130,Signaling by activated point mutants of FGFR3,5
R-HSA-187024,NGF-independant TRKA activation,5
R-HSA-187042,TRKA activation by NGF,5
R-HSA-187706,Signalling to p38 via RIT and RIN,5
R-HSA-190370,FGFR1b ligand binding and activation,5
R-HSA-190371,FGFR3b ligand binding and activation,5
R-HSA-190372,FGFR3c ligand binding and activation,5
R-HSA-190373,FGFR1c ligand binding and activation,5
R-HSA-190374,FGFR1c and Klotho ligand binding and activation,5
R-HSA-190375,FGFR2c ligand binding and activation,5
R-HSA-190377,FGFR2b ligand binding and activation,5
R-HSA-190704,Oligomerization of connexins into connexons,5
R-HSA-190827,Transport of connexins along the secretory pathway,5
R-HSA-190872,Transport of connexons to the plasma membrane,5
R-HSA-192814,vRNA Synthesis,5
R-HSA-192823,Viral mRNA Translation,5
R-HSA-192869,cRNA Synthesis,5
R-HSA-192905,vRNP Assembly,5
R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,5
R-HSA-193775,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,5
R-HSA-193807,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,5
R-HSA-196025,Formation of annular gap junctions,5
R-HSA-198753,ERK/MAPK targets,5
R-HSA-199920,CREB phosphorylation,5
R-HSA-202040,G-protein activation,5
R-HSA-2023837,Signaling by FGFR2 amplification mutants,5
R-HSA-2033515,t(4;14) translocations of FGFR3,5
R-HSA-2033519,Activated point mutants of FGFR2,5
R-HSA-211957,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,5
R-HSA-211994,Sterols are 12-hydroxylated by CYP8B1,5
R-HSA-211999,CYP2E1 reactions,5
R-HSA-2179392,EGFR Transactivation by Gastrin,5
R-HSA-2467813,Separation of Sister Chromatids,5
R-HSA-2980767,"Activation of NIMA Kinases NEK9, NEK6, NEK7",5
R-HSA-2995410,Nuclear Envelope (NE) Reassembly,5
R-HSA-3301854,Nuclear Pore Complex (NPC) Disassembly,5
R-HSA-380095,Tachykinin receptors bind tachykinins,5
R-HSA-380108,Chemokine receptors bind chemokines,5
R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes,5
R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome,5
R-HSA-388479,Vasopressin-like receptors,5
R-HSA-389397,Orexin and neuropeptides FF and QRFP bind to their respective receptors,5
R-HSA-390648,Muscarinic acetylcholine receptors,5
R-HSA-390650,Histamine receptors,5
R-HSA-390651,Dopamine receptors,5
R-HSA-390666,Serotonin receptors,5
R-HSA-390696,Adrenoceptors,5
R-HSA-391906,Leukotriene receptors,5
R-HSA-391908,Prostanoid ligand receptors,5
R-HSA-4085001,Sialic acid metabolism,5
R-HSA-416550,Sema4D mediated inhibition of cell attachment and migration,5
R-HSA-416572,Sema4D induced cell migration and growth-cone collapse,5
R-HSA-416993,Trafficking of GluR2-containing AMPA receptors,5
R-HSA-417957,P2Y receptors,5
R-HSA-417973,Adenosine P1 receptors,5
