PathwayID,PathwayName,Layer
R-HSA-1059683,Interleukin-6 signaling,4
R-HSA-110056,MAPK3 (ERK1) activation,4
R-HSA-110328,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,4
R-HSA-110329,Cleavage of the damaged pyrimidine ,4
R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,4
R-HSA-110331,Cleavage of the damaged purine,4
R-HSA-110362,POLB-Dependent Long Patch Base Excision Repair,4
R-HSA-111446,Activation of BIM and translocation to mitochondria ,4
R-HSA-111447,Activation of BAD and translocation to mitochondria ,4
R-HSA-111448,Activation of NOXA and translocation to mitochondria,4
R-HSA-111457,Release of apoptotic factors from the mitochondria,4
R-HSA-111461,Cytochrome c-mediated apoptotic response,4
R-HSA-111469,"SMAC, XIAP-regulated apoptotic response",4
R-HSA-111885,Opioid Signalling,4
R-HSA-111933,Calmodulin induced events,4
R-HSA-112399,IRS-mediated signalling,4
R-HSA-112411,MAPK1 (ERK2) activation,4
R-HSA-113510,E2F mediated regulation of DNA replication,4
R-HSA-1169091,Activation of NF-kappaB in B cells,4
R-HSA-1169092,Activation of RAS in B cells,4
R-HSA-1169408,ISG15 antiviral mechanism,4
R-HSA-1222499,Latent infection - Other responses of Mtb to phagocytosis,4
R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,4
R-HSA-1236973,Cross-presentation of particulate exogenous antigens (phagosomes),4
R-HSA-1236974,ER-Phagosome pathway,4
R-HSA-1236977,Endosomal/Vacuolar pathway,4
R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),4
R-HSA-1296041,Activation of G protein gated Potassium channels,4
R-HSA-1358803,Downregulation of ERBB2:ERBB3 signaling,4
R-HSA-1362277,Transcription of E2F targets under negative control by DREAM complex,4
R-HSA-1362300,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,4
R-HSA-139910,Activation of BMF and translocation to mitochondria,4
R-HSA-139915,Activation of PUMA and translocation to mitochondria,4
R-HSA-141333,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,4
R-HSA-141334,PAOs oxidise polyamines to amines,4
R-HSA-141430,Inactivation of APC/C via direct inhibition of the APC/C complex,4
R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,4
R-HSA-1461957,Beta defensins,4
R-HSA-1462054,Alpha-defensins,4
R-HSA-1482788,Acyl chain remodelling of PC,4
R-HSA-1482798,Acyl chain remodeling of CL,4
R-HSA-1482801,Acyl chain remodelling of PS,4
R-HSA-1482839,Acyl chain remodelling of PE,4
R-HSA-1482883,Acyl chain remodeling of DAG and TAG,4
R-HSA-1482922,Acyl chain remodelling of PI,4
R-HSA-1482925,Acyl chain remodelling of PG,4
R-HSA-1483076,Synthesis of CL,4
R-HSA-1483101,Synthesis of PS,4
R-HSA-1483115,Hydrolysis of LPC,4
R-HSA-1483148,Synthesis of PG,4
R-HSA-1483152,Hydrolysis of LPE,4
R-HSA-1483166,Synthesis of PA,4
R-HSA-1483171,Synthesis of BMP,4
R-HSA-1483191,Synthesis of PC,4
