PathwayID,PathwayName,Layer
R-HSA-110312,Translesion synthesis by REV1,3
R-HSA-110320,Translesion Synthesis by POLH,3
R-HSA-110357,Displacement of DNA glycosylase by APEX1,3
R-HSA-110373,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,3
R-HSA-110381,Resolution of AP sites via the single-nucleotide replacement pathway,3
R-HSA-111452,Activation and oligomerization of BAK protein,3
R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,3
R-HSA-111465,Apoptotic cleavage of cellular proteins,3
R-HSA-111471,Apoptotic factor-mediated response,3
R-HSA-111997,CaM pathway,3
R-HSA-112122,ALKBH2 mediated reversal of alkylation damage,3
R-HSA-112126,ALKBH3 mediated reversal of alkylation damage,3
R-HSA-112382,Formation of RNA Pol II elongation complex ,3
R-HSA-112409,RAF-independent MAPK1/3 activation,3
R-HSA-113418,Formation of the Early Elongation Complex,3
R-HSA-114294,"Activation, translocation and oligomerization of BAX",3
R-HSA-114452,Activation of BH3-only proteins,3
R-HSA-114516,Disinhibition of SNARE formation,3
R-HSA-114608,Platelet degranulation ,3
R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),3
R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,3
R-HSA-1234158,Regulation of gene expression by Hypoxia-inducible Factor,3
R-HSA-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,3
R-HSA-1236975,Antigen processing-Cross presentation,3
R-HSA-1237112,Methionine salvage pathway,3
R-HSA-1250196,SHC1 events in ERBB2 signaling,3
R-HSA-1250342,PI3K events in ERBB4 signaling,3
R-HSA-1250347,SHC1 events in ERBB4 signaling,3
R-HSA-1251932,PLCG1 events in ERBB2 signaling,3
R-HSA-1251985,Nuclear signaling by ERBB4,3
R-HSA-1253288,Downregulation of ERBB4 signaling,3
R-HSA-1266695,Interleukin-7 signaling,3
R-HSA-1296025,ATP sensitive Potassium channels,3
R-HSA-1296053,Classical Kir channels,3
R-HSA-1296059,G protein gated Potassium channels,3
R-HSA-1296067,Potassium transport channels,3
R-HSA-1299287,Tandem pore domain halothane-inhibited K+ channel (THIK),3
R-HSA-1299308,Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK),3
R-HSA-1299316,TWIK-releated acid-sensitive K+ channel (TASK),3
R-HSA-1299344,TWIK-related spinal cord K+ channel (TRESK),3
R-HSA-1299361,TWIK-related alkaline pH activated K+ channel (TALK),3
R-HSA-1299503,TWIK related potassium channel (TREK),3
R-HSA-1306955,GRB7 events in ERBB2 signaling,3
R-HSA-139853,Elevation of cytosolic Ca2+ levels,3
R-HSA-140179,Amine Oxidase reactions,3
R-HSA-140180,COX reactions,3
R-HSA-140342,Apoptosis induced DNA fragmentation,3
R-HSA-140534,Caspase activation via Death Receptors in the presence of ligand,3
R-HSA-141405,Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,3
R-HSA-141424,Amplification of signal from the kinetochores,3
R-HSA-1433559,Regulation of KIT signaling,3
R-HSA-1461973,Defensins,3
R-HSA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",3
R-HSA-1483206,Glycerophospholipid biosynthesis,3
R-HSA-1483255,PI Metabolism,3
R-HSA-1538133,G0 and Early G1,3
R-HSA-156581,Methylation,3
R-HSA-156582,Acetylation,3
R-HSA-156584,Cytosolic sulfonation of small molecules,3
R-HSA-156587,Amino Acid conjugation,3
R-HSA-156588,Glucuronidation,3
R-HSA-156590,Glutathione conjugation,3
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,3
R-HSA-156902,Peptide chain elongation,3
R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,3
R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,3
R-HSA-159854,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",3
R-HSA-1606322,ZBP1(DAI) mediated induction of type I IFNs,3
R-HSA-1614558,Degradation of cysteine and homocysteine,3
R-HSA-1614603,Cysteine formation from homocysteine,3
R-HSA-162699,Synthesis of dolichyl-phosphate mannose,3
R-HSA-162710,Synthesis of glycosylphosphatidylinositol (GPI),3
R-HSA-162791,Attachment of GPI anchor to uPAR,3
R-HSA-162906,HIV Infection,3
R-HSA-163210,Formation of ATP by chemiosmotic coupling,3
R-HSA-163560,Triglyceride catabolism,3
R-HSA-1638074,Keratan sulfate/keratin metabolism,3
R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,3
R-HSA-164378,PKA activation in glucagon signalling,3
R-HSA-1655829,Regulation of cholesterol biosynthesis by SREBP (SREBF),3
R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,3
R-HSA-1660661,Sphingolipid de novo biosynthesis,3
R-HSA-1660662,Glycosphingolipid metabolism,3
R-HSA-166187,Mitochondrial Uncoupling,3
R-HSA-1663150,The activation of arylsulfatases,3
R-HSA-166663,Initial triggering of complement,3
R-HSA-166665,Terminal pathway of complement,3
R-HSA-1679131,Trafficking and processing of endosomal TLR,3
R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,3
R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,3
R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,3
R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,3
R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,3
R-HSA-168255,Influenza Infection,3
R-HSA-168638,NOD1/2 Signaling Pathway,3
R-HSA-171306,Packaging Of Telomere Ends,3
R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,3
R-HSA-174362,Transport and synthesis of PAPS,3
R-HSA-174577,Activation of C3 and C5,3
R-HSA-176187,Activation of ATR in response to replication stress,3
R-HSA-176974,Unwinding of DNA,3
R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,3
R-HSA-179812,GRB2 events in EGFR signaling,3
R-HSA-180292,GAB1 signalosome,3
R-HSA-180336,SHC1 events in EGFR signaling,3
R-HSA-180786,Extension of Telomeres,3
R-HSA-181429,Serotonin Neurotransmitter Release Cycle,3
R-HSA-181430,Norepinephrine Neurotransmitter Release Cycle,3
R-HSA-181431,Acetylcholine binding and downstream events,3
R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,3
R-HSA-182971,EGFR downregulation,3
R-HSA-1834941,STING mediated induction of host immune responses,3
R-HSA-186763,Downstream signal transduction,3
R-HSA-187037,Signaling by NTRK1 (TRKA),3
R-HSA-190828,Gap junction trafficking,3
R-HSA-1912399,Pre-NOTCH Processing in the Endoplasmic Reticulum,3
R-HSA-1912408,Pre-NOTCH Transcription and Translation,3
R-HSA-1912420,Pre-NOTCH Processing in Golgi,3
R-HSA-191273,Cholesterol biosynthesis,3
R-HSA-191650,Regulation of gap junction activity,3
R-HSA-193639,p75NTR signals via NF-kB,3
R-HSA-193670,p75NTR negatively regulates cell cycle via SC1,3
R-HSA-193681,Ceramide signalling,3
R-HSA-193692,Regulated proteolysis of p75NTR,3
R-HSA-193697,p75NTR regulates axonogenesis,3
R-HSA-194068,Bile acid and bile salt metabolism,3
R-HSA-194306,Neurophilin interactions with VEGF and VEGFR,3
R-HSA-194313,VEGF ligand-receptor interactions,3
R-HSA-195258,RHO GTPase Effectors,3
R-HSA-196071,Metabolism of steroid hormones,3
R-HSA-196299,Beta-catenin phosphorylation cascade,3
R-HSA-1963640,GRB2 events in ERBB2 signaling,3
R-HSA-1963642,PI3K events in ERBB2 signaling,3
R-HSA-196741,"Cobalamin (Cbl, vitamin B12) transport and metabolism",3
R-HSA-196757,Metabolism of folate and pterines,3
R-HSA-196780,Biotin transport and metabolism,3
R-HSA-196791,Vitamin D (calciferol) metabolism,3
R-HSA-196807,Nicotinate metabolism,3
R-HSA-196819,Vitamin B1 (thiamin) metabolism,3
R-HSA-196836,Vitamin C (ascorbate) metabolism,3
R-HSA-196843,Vitamin B2 (riboflavin) metabolism,3
R-HSA-198323,AKT phosphorylates targets in the cytosol,3
R-HSA-198693,AKT phosphorylates targets in the nucleus,3
R-HSA-1989781,PPARA activates gene expression,3
R-HSA-199220,Vitamin B5 (pantothenate) metabolism,3
R-HSA-199418,Negative regulation of the PI3K/AKT network,3
